18
1,7,6,1,5,5,7,7,6,1,5,5,5,7,7,5,5,4
3,12,11,7,5,5,14,8,9,5,7,4,1,13,15,5,5,4
11,6,8,9,5,7,13,5,6,3,14,2,1,5,15,5,5,4
10,9,5,4,2,10,1,6,11,14,11,14,3,5,13,4,2,2
10,1,7,4,10,11,7,15,14,11,14,11,13,7,5,5,15,14
10,2,11,7,14,10,8,10,10,10,10,10,1,15,5,4,10,10
11,14,10,8,9,12,1,14,10,10,10,10,2,10,3,6,10,10
10,11,14,1,7,7,7,15,15,12,11,15,15,14,8,10,10,10
10,10,11,5,14,8,10,8,11,6,10,10,10,10,3,14,9,14
10,11,14,3,13,7,15,6,9,12,10,8,8,11,12,9,6,10
10,10,10,11,4,10,10,11,6,2,11,7,6,10,2,2,10,10
10,10,9,15,4,8,8,10,10,10,10,10,11,13,15,14,11,14
10,10,1,13,4,3,5,12,10,11,12,8,8,1,14,9,14,8
9,15,5,5,5,14,3,4,10,11,6,3,7,5,12,1,13,6
1,15,4,3,5,12,10,3,15,14,10,10,9,7,5,7,6,10
2,11,6,11,5,4,11,14,11,14,10,10,3,13,4,8,11,12
9,14,10,9,7,5,14,10,10,8,11,14,11,5,5,5,13,6
1,12,8,1,13,4,8,9,13,4,8,8,9,5,5,5,4,8
