18
1,7,7,5,5,7,5,5,5,6,2,2,2,3,5,5,7,6
2,10,10,1,5,13,5,7,4,11,15,14,10,10,3,7,14,10
10,11,15,5,5,5,5,13,4,8,10,11,14,10,10,8,8,10
10,10,10,2,2,1,5,7,5,7,12,10,10,10,9,5,6,10
9,12,9,14,10,3,5,12,2,11,6,10,11,15,5,7,12,10
1,7,5,12,10,11,5,5,13,12,10,9,15,12,1,13,7,14
3,13,5,5,14,9,5,6,1,5,15,5,15,4,3,6,11,14
11,5,7,4,9,7,5,13,5,5,14,1,15,5,14,9,12,8
10,2,11,5,5,15,5,4,3,6,9,5,15,6,9,5,7,6
10,10,10,3,6,9,7,5,13,12,3,5,12,10,3,5,13,14
11,15,14,10,11,7,13,5,7,5,13,6,2,10,11,6,2,10
10,10,10,10,10,11,5,5,15,5,7,15,14,10,10,10,10,10
10,10,10,10,10,10,1,7,14,2,10,10,10,11,14,11,12,10
10,11,13,12,8,11,4,10,11,14,10,11,15,12,11,13,6,10
10,11,4,3,5,13,6,10,10,10,10,10,11,7,14,3,13,12
10,11,6,11,5,4,8,11,14,10,10,10,10,10,11,15,5,6
11,14,9,13,5,5,7,14,10,10,10,10,10,8,8,10,1,12
8,9,5,5,5,5,12,8,9,12,9,13,12,1,5,13,5,4
