18
1,7,5,5,5,4,2,2,3,7,5,7,6,2,3,5,6,2
3,13,5,7,7,7,14,11,14,10,1,14,9,13,15,4,8,10
10,1,5,14,10,8,9,14,10,10,3,14,1,5,13,7,4,10
10,1,7,13,13,7,6,10,11,14,8,10,2,1,7,15,4,10
10,1,13,5,6,8,9,12,10,11,5,15,13,7,15,14,3,14
10,2,2,3,15,6,1,7,12,8,1,13,6,10,10,11,14,10
10,9,13,12,8,11,7,13,4,3,5,6,10,10,10,10,10,8
11,5,7,7,5,13,13,5,5,13,6,11,14,10,10,11,13,6
8,1,13,13,7,7,5,6,3,6,10,10,10,10,10,10,1,14
1,7,5,4,10,11,7,12,9,14,10,10,11,14,9,14,3,12
1,13,7,5,13,12,9,6,1,15,12,10,10,9,5,15,13,4
3,5,13,5,5,6,2,10,1,15,5,13,14,2,2,9,6,2
9,7,6,1,5,14,10,11,6,9,6,3,15,14,10,1,14,10
2,10,11,5,7,13,15,14,11,7,13,12,8,9,15,7,12,10
10,10,10,2,11,6,10,10,11,13,5,5,5,6,10,9,7,14
10,10,10,9,12,8,8,11,15,5,7,5,5,13,14,1,12,8
9,14,10,2,3,4,1,14,9,6,11,5,5,5,15,5,5,6
1,13,13,13,13,5,5,12,1,12,9,5,5,5,13,5,5,12
