18
1,7,5,6,3,5,5,5,5,5,7,5,7,5,5,4,1,6
1,14,2,10,11,6,2,1,6,1,14,3,13,7,6,3,7,12
3,12,9,15,14,10,11,5,14,3,15,15,4,10,9,14,11,4
10,2,1,12,8,11,12,3,13,15,14,11,4,11,5,14,9,6
11,13,5,5,5,14,1,15,4,10,10,9,6,10,3,12,1,14
11,5,5,7,5,13,7,13,6,10,10,3,12,10,9,5,7,12
10,3,5,15,5,6,10,1,14,10,10,11,6,8,1,5,13,6
9,14,3,13,5,14,10,3,12,8,10,10,11,5,5,5,7,12
3,14,10,2,2,10,11,14,3,6,11,13,13,7,5,4,10,2
10,11,15,14,10,11,14,11,13,12,10,3,5,12,2,2,10,10
10,10,8,10,11,12,8,11,5,5,12,9,5,5,15,12,10,10
11,12,1,12,10,3,7,13,5,5,4,1,5,7,13,5,14,10
10,3,5,5,12,11,14,3,7,7,7,7,5,13,6,2,11,14
10,9,5,5,7,14,10,10,10,10,10,10,3,7,13,13,12,8
11,5,5,5,12,8,9,12,8,10,10,10,11,13,5,7,5,4
9,6,3,7,4,3,5,5,5,14,10,11,15,5,5,15,5,4
3,13,12,9,5,13,5,5,5,15,15,14,9,7,5,15,5,4
9,5,5,5,5,5,5,5,5,12,8,8,1,13,5,13,5,4
