18
1,5,5,7,5,5,7,5,7,4,3,6,1,5,6,1,6,2
2,2,1,15,4,3,13,7,13,5,12,9,5,5,15,7,12,10
10,10,1,13,6,10,1,13,5,5,6,3,6,2,10,11,5,14
10,10,1,7,12,10,3,5,5,4,10,10,11,13,12,9,4,10
10,11,5,13,7,15,13,5,7,5,15,13,13,7,4,2,2,10
9,14,1,5,12,10,1,5,13,4,10,1,7,15,7,15,14,10
1,13,5,7,4,11,7,5,5,5,15,4,10,10,10,10,10,10
1,5,5,13,6,10,10,3,5,7,14,2,10,10,10,10,10,10
3,5,5,5,13,14,9,12,3,14,11,15,14,11,14,10,11,14
9,5,7,5,4,11,6,2,9,12,10,10,11,14,10,8,9,14
3,5,15,4,3,12,11,13,5,5,14,8,10,10,10,2,2,10
9,6,9,6,11,6,10,3,5,5,13,7,12,11,13,13,12,10
3,12,3,12,10,11,13,14,3,5,5,13,5,13,7,5,4,10
9,6,11,5,14,11,7,12,9,7,5,5,7,5,13,5,5,14
1,15,15,4,10,10,9,7,5,13,5,5,15,5,5,7,5,12
2,10,11,5,13,14,2,11,5,5,5,7,13,5,5,13,5,6
11,12,9,5,6,10,9,15,5,7,7,13,5,5,5,7,4,10
9,5,5,5,12,8,1,12,1,12,9,5,5,5,5,13,5,12
