file_name, maze_dim, upper_benchmark, lower_benchmark, score
./generated_mazes/14/maze_00_ub-29.0666666667_lb-22.5333333333.txt, 14, 29.0666666667, 22.5333333333, 19.533
./generated_mazes/14/maze_01_ub-26.0666666667_lb-19.5333333333.txt, 14, 26.0666666667, 19.5333333333, 16.067
./generated_mazes/14/maze_02_ub-24.0666666667_lb-17.5333333333.txt, 14, 24.0666666667, 17.5333333333, 16.867
./generated_mazes/14/maze_03_ub-23.0666666667_lb-16.5333333333.txt, 14, 23.0666666667, 16.5333333333, 14.467
./generated_mazes/14/maze_04_ub-24.0666666667_lb-17.5333333333.txt, 14, 24.0666666667, 17.5333333333, 13.600
./generated_mazes/14/maze_05_ub-23.0666666667_lb-16.5333333333.txt, 14, 23.0666666667, 16.5333333333, 12.233
./generated_mazes/14/maze_06_ub-22.0666666667_lb-15.5333333333.txt, 14, 22.0666666667, 15.5333333333, 9.967
./generated_mazes/14/maze_07_ub-23.0666666667_lb-16.5333333333.txt, 14, 23.0666666667, 16.5333333333, 17.133
./generated_mazes/14/maze_08_ub-21.0666666667_lb-14.5333333333.txt, 14, 21.0666666667, 14.5333333333, 9.900
./generated_mazes/14/maze_09_ub-29.0666666667_lb-22.5333333333.txt, 14, 29.0666666667, 22.5333333333, 23.700
./generated_mazes/14/maze_10_ub-21.0666666667_lb-14.5333333333.txt, 14, 21.0666666667, 14.5333333333, 10.333
./generated_mazes/14/maze_11_ub-28.0666666667_lb-21.5333333333.txt, 14, 28.0666666667, 21.5333333333, 19.433
./generated_mazes/14/maze_12_ub-19.0666666667_lb-12.5333333333.txt, 14, 19.0666666667, 12.5333333333, 8.500
./generated_mazes/14/maze_13_ub-23.0666666667_lb-16.5333333333.txt, 14, 23.0666666667, 16.5333333333, 14.633
./generated_mazes/14/maze_14_ub-21.0666666667_lb-14.5333333333.txt, 14, 21.0666666667, 14.5333333333, 10.600
