file_name, maze_dim, upper_benchmark, lower_benchmark, score
./generated_mazes/20/maze_00_ub-37.6666666667_lb-24.3333333333.txt, 20, 37.6666666667, 24.3333333333, 22.467
./generated_mazes/20/maze_01_ub-42.6666666667_lb-29.3333333333.txt, 20, 42.6666666667, 29.3333333333, 26.433
./generated_mazes/20/maze_02_ub-39.6666666667_lb-26.3333333333.txt, 20, 39.6666666667, 26.3333333333, 23.567
./generated_mazes/20/maze_03_ub-42.6666666667_lb-29.3333333333.txt, 20, 42.6666666667, 29.3333333333, 22.233
./generated_mazes/20/maze_04_ub-40.6666666667_lb-27.3333333333.txt, 20, 40.6666666667, 27.3333333333, 30.467
./generated_mazes/20/maze_05_ub-36.6666666667_lb-23.3333333333.txt, 20, 36.6666666667, 23.3333333333, 19.933
./generated_mazes/20/maze_06_ub-37.6666666667_lb-24.3333333333.txt, 20, 37.6666666667, 24.3333333333, 21.400
./generated_mazes/20/maze_07_ub-43.6666666667_lb-30.3333333333.txt, 20, 43.6666666667, 30.3333333333, 29.800
./generated_mazes/20/maze_08_ub-41.6666666667_lb-28.3333333333.txt, 20, 41.6666666667, 28.3333333333, 22.600
./generated_mazes/20/maze_09_ub-37.6666666667_lb-24.3333333333.txt, 20, 37.6666666667, 24.3333333333, 19.567
./generated_mazes/20/maze_10_ub-43.6666666667_lb-30.3333333333.txt, 20, 43.6666666667, 30.3333333333, 29.167
./generated_mazes/20/maze_11_ub-37.6666666667_lb-24.3333333333.txt, 20, 37.6666666667, 24.3333333333, 21.067
./generated_mazes/20/maze_12_ub-36.6666666667_lb-23.3333333333.txt, 20, 36.6666666667, 23.3333333333, 14.133
./generated_mazes/20/maze_13_ub-41.6666666667_lb-28.3333333333.txt, 20, 41.6666666667, 28.3333333333, 25.067
./generated_mazes/20/maze_14_ub-38.6666666667_lb-25.3333333333.txt, 20, 38.6666666667, 25.3333333333, 22.967
./generated_mazes/20/maze_15_ub-37.6666666667_lb-24.3333333333.txt, 20, 37.6666666667, 24.3333333333, 14.100
./generated_mazes/20/maze_16_ub-45.6666666667_lb-32.3333333333.txt, 20, 45.6666666667, 32.3333333333, 33.867
./generated_mazes/20/maze_17_ub-36.6666666667_lb-23.3333333333.txt, 20, 36.6666666667, 23.3333333333, 20.367
./generated_mazes/20/maze_18_ub-40.6666666667_lb-27.3333333333.txt, 20, 40.6666666667, 27.3333333333, 22.867
./generated_mazes/20/maze_19_ub-38.6666666667_lb-25.3333333333.txt, 20, 38.6666666667, 25.3333333333, 22.567
./generated_mazes/20/maze_20_ub-39.6666666667_lb-26.3333333333.txt, 20, 39.6666666667, 26.3333333333, 23.833
./generated_mazes/20/maze_21_ub-41.6666666667_lb-28.3333333333.txt, 20, 41.6666666667, 28.3333333333, 25.633
./generated_mazes/20/maze_22_ub-42.6666666667_lb-29.3333333333.txt, 20, 42.6666666667, 29.3333333333, 26.467
./generated_mazes/20/maze_23_ub-36.6666666667_lb-23.3333333333.txt, 20, 36.6666666667, 23.3333333333, 13.867
./generated_mazes/20/maze_24_ub-41.6666666667_lb-28.3333333333.txt, 20, 41.6666666667, 28.3333333333, 25.033
./generated_mazes/20/maze_25_ub-38.6666666667_lb-25.3333333333.txt, 20, 38.6666666667, 25.3333333333, 23.600
./generated_mazes/20/maze_26_ub-41.6666666667_lb-28.3333333333.txt, 20, 41.6666666667, 28.3333333333, 25.633
./generated_mazes/20/maze_27_ub-38.6666666667_lb-25.3333333333.txt, 20, 38.6666666667, 25.3333333333, 22.733
./generated_mazes/20/maze_28_ub-37.6666666667_lb-24.3333333333.txt, 20, 37.6666666667, 24.3333333333, 17.067
./generated_mazes/20/maze_29_ub-40.6666666667_lb-27.3333333333.txt, 20, 40.6666666667, 27.3333333333, 22.167
./generated_mazes/20/maze_30_ub-40.6666666667_lb-27.3333333333.txt, 20, 40.6666666667, 27.3333333333, 19.433
./generated_mazes/20/maze_31_ub-36.6666666667_lb-23.3333333333.txt, 20, 36.6666666667, 23.3333333333, 1033.33333333
./generated_mazes/20/maze_32_ub-41.6666666667_lb-28.3333333333.txt, 20, 41.6666666667, 28.3333333333, 27.300
./generated_mazes/20/maze_33_ub-39.6666666667_lb-26.3333333333.txt, 20, 39.6666666667, 26.3333333333, 24.267
