file_name, maze_dim, upper_benchmark, lower_benchmark, score
./generated_mazes/16/maze_00_ub-29.0666666667_lb-20.5333333333.txt, 16, 29.0666666667, 20.5333333333, 18.300
./generated_mazes/16/maze_01_ub-31.0666666667_lb-22.5333333333.txt, 16, 31.0666666667, 22.5333333333, 22.500
./generated_mazes/16/maze_02_ub-24.0666666667_lb-15.5333333333.txt, 16, 24.0666666667, 15.5333333333, 12.833
./generated_mazes/16/maze_03_ub-31.0666666667_lb-22.5333333333.txt, 16, 31.0666666667, 22.5333333333, 19.333
./generated_mazes/16/maze_04_ub-27.0666666667_lb-18.5333333333.txt, 16, 27.0666666667, 18.5333333333, 16.367
./generated_mazes/16/maze_05_ub-30.0666666667_lb-21.5333333333.txt, 16, 30.0666666667, 21.5333333333, 16.833
./generated_mazes/16/maze_06_ub-30.0666666667_lb-21.5333333333.txt, 16, 30.0666666667, 21.5333333333, 18.500
./generated_mazes/16/maze_07_ub-32.0666666667_lb-23.5333333333.txt, 16, 32.0666666667, 23.5333333333, 21.000
./generated_mazes/16/maze_08_ub-25.0666666667_lb-16.5333333333.txt, 16, 25.0666666667, 16.5333333333, 12.300
./generated_mazes/16/maze_09_ub-32.0666666667_lb-23.5333333333.txt, 16, 32.0666666667, 23.5333333333, 20.833
./generated_mazes/16/maze_10_ub-23.0666666667_lb-14.5333333333.txt, 16, 23.0666666667, 14.5333333333, 10.767
./generated_mazes/16/maze_11_ub-26.0666666667_lb-17.5333333333.txt, 16, 26.0666666667, 17.5333333333, 1033.33333333
./generated_mazes/16/maze_12_ub-35.0666666667_lb-26.5333333333.txt, 16, 35.0666666667, 26.5333333333, 24.633
./generated_mazes/16/maze_13_ub-29.0666666667_lb-20.5333333333.txt, 16, 29.0666666667, 20.5333333333, 20.233
./generated_mazes/16/maze_14_ub-27.0666666667_lb-18.5333333333.txt, 16, 27.0666666667, 18.5333333333, 10.867
./generated_mazes/16/maze_15_ub-23.0666666667_lb-14.5333333333.txt, 16, 23.0666666667, 14.5333333333, 7.567
./generated_mazes/16/maze_16_ub-28.0666666667_lb-19.5333333333.txt, 16, 28.0666666667, 19.5333333333, 20.100
./generated_mazes/16/maze_17_ub-31.0666666667_lb-22.5333333333.txt, 16, 31.0666666667, 22.5333333333, 22.200
./generated_mazes/16/maze_18_ub-25.0666666667_lb-16.5333333333.txt, 16, 25.0666666667, 16.5333333333, 14.533
./generated_mazes/16/maze_19_ub-27.0666666667_lb-18.5333333333.txt, 16, 27.0666666667, 18.5333333333, 16.333
./generated_mazes/16/maze_20_ub-28.0666666667_lb-19.5333333333.txt, 16, 28.0666666667, 19.5333333333, 13.767
./generated_mazes/16/maze_21_ub-29.0666666667_lb-20.5333333333.txt, 16, 29.0666666667, 20.5333333333, 19.000
./generated_mazes/16/maze_22_ub-28.0666666667_lb-19.5333333333.txt, 16, 28.0666666667, 19.5333333333, 18.600
./generated_mazes/16/maze_23_ub-33.0666666667_lb-24.5333333333.txt, 16, 33.0666666667, 24.5333333333, 25.467
./generated_mazes/16/maze_24_ub-28.0666666667_lb-19.5333333333.txt, 16, 28.0666666667, 19.5333333333, 22.200
./generated_mazes/16/maze_25_ub-28.0666666667_lb-19.5333333333.txt, 16, 28.0666666667, 19.5333333333, 16.933
./generated_mazes/16/maze_26_ub-27.0666666667_lb-18.5333333333.txt, 16, 27.0666666667, 18.5333333333, 18.033
./generated_mazes/16/maze_27_ub-29.0666666667_lb-20.5333333333.txt, 16, 29.0666666667, 20.5333333333, 19.433
./generated_mazes/16/maze_28_ub-23.0666666667_lb-14.5333333333.txt, 16, 23.0666666667, 14.5333333333, 9.967
./generated_mazes/16/maze_29_ub-26.0666666667_lb-17.5333333333.txt, 16, 26.0666666667, 17.5333333333, 1033.33333333
./generated_mazes/16/maze_30_ub-28.0666666667_lb-19.5333333333.txt, 16, 28.0666666667, 19.5333333333, 17.533
./generated_mazes/16/maze_31_ub-27.0666666667_lb-18.5333333333.txt, 16, 27.0666666667, 18.5333333333, 15.167
