20
1,7,7,7,5,5,5,5,7,7,5,5,7,5,5,5,7,6,2,2
1,12,8,9,7,6,2,3,13,13,5,7,13,5,5,5,14,10,11,14
1,5,7,5,15,14,9,14,1,5,5,15,5,7,7,5,12,11,12,8
3,5,13,6,10,10,3,14,1,7,5,13,5,13,12,3,7,13,5,4
9,7,7,12,10,10,10,10,3,15,5,5,5,5,7,14,9,5,5,6
2,10,11,4,10,11,15,15,14,10,2,3,5,7,12,8,1,7,5,12
10,10,11,6,10,8,10,10,11,15,15,13,6,10,2,2,3,15,6,2
11,14,10,9,15,5,12,11,12,10,10,3,14,11,14,10,8,10,11,14
10,10,10,1,13,7,4,8,3,12,8,10,10,10,10,10,3,12,8,10
10,8,11,6,3,14,3,7,12,3,6,10,10,10,9,15,15,6,2,10
11,4,10,9,12,11,12,9,6,9,14,10,11,15,4,8,8,9,15,14
10,2,10,1,7,12,3,5,15,5,13,13,15,12,1,7,7,6,10,10
11,13,14,2,10,2,9,7,13,7,5,4,11,5,7,12,8,9,12,10
9,4,9,13,14,11,7,13,4,10,2,2,9,6,9,5,5,7,5,12
3,6,2,2,11,14,11,5,4,10,10,10,3,12,3,5,5,13,5,6
10,9,13,15,12,10,9,5,7,14,10,10,11,5,15,5,5,7,5,12
10,1,7,13,4,10,3,7,12,11,14,10,11,4,11,5,5,15,5,4
11,5,13,7,4,10,10,9,4,10,9,13,13,5,14,2,2,9,7,4
10,1,5,15,4,10,9,5,7,13,5,6,1,7,12,11,14,3,15,4
8,1,5,13,5,13,5,5,13,5,5,12,1,13,5,12,8,8,9,4
