20
1,5,7,4,2,2,2,3,7,4,3,5,7,5,5,6,3,5,6,2
2,3,14,2,11,13,13,12,11,5,14,1,12,3,5,13,15,4,9,12
10,10,11,14,9,7,5,7,13,4,8,1,5,13,7,5,15,5,5,4
11,14,8,11,7,13,5,13,5,7,6,1,5,7,13,5,13,7,5,4
10,10,3,13,13,5,7,5,6,10,10,1,7,13,5,5,6,10,2,2
10,10,10,3,5,5,13,4,10,11,15,5,15,5,7,5,13,13,14,10
10,11,15,13,5,5,5,7,15,14,10,1,15,6,11,5,7,6,10,10
11,14,9,7,5,5,6,10,10,10,10,2,10,10,11,6,11,14,11,14
11,13,7,15,6,3,12,8,10,8,9,15,15,15,15,14,10,11,12,10
10,2,10,10,11,15,5,6,10,3,6,10,8,10,8,10,10,9,6,10
10,10,10,10,10,10,1,15,14,9,14,11,6,9,6,10,10,2,10,10
10,11,15,15,14,10,3,12,10,3,12,10,10,3,12,11,12,9,13,14
11,14,8,10,10,10,9,6,10,9,7,14,9,13,4,9,5,5,6,8
10,11,6,8,10,8,1,12,11,7,12,11,5,5,5,5,7,5,13,4
10,10,11,7,13,6,2,2,10,9,6,11,5,5,5,7,13,5,5,6
10,10,10,10,2,11,14,11,12,1,15,12,3,5,5,15,5,5,5,12
11,14,10,11,15,14,11,13,5,7,13,4,9,5,7,13,5,5,5,4
10,11,14,10,10,10,11,5,7,13,5,4,3,5,13,5,4,3,5,4
10,8,9,14,10,10,9,5,15,5,7,5,13,7,5,5,4,9,5,6
9,5,4,8,8,9,5,5,13,5,13,4,1,13,5,5,5,5,5,12
