20
1,7,7,7,4,3,7,6,2,3,5,7,5,5,5,5,5,5,7,6
1,14,10,9,5,12,8,11,14,10,2,11,5,5,5,5,6,3,13,12
3,14,10,3,5,5,4,8,11,13,12,11,5,5,7,5,13,13,7,6
8,11,13,15,5,5,5,5,15,5,4,9,6,3,13,5,5,7,14,10
1,15,5,13,5,5,7,5,13,5,7,5,13,13,5,5,6,8,10,8
3,13,5,4,1,5,15,5,4,1,13,5,7,4,3,5,13,7,13,4
11,7,6,2,3,5,13,7,4,2,2,3,13,5,13,5,7,13,5,4
10,10,10,11,15,7,6,10,2,10,11,15,7,5,7,5,13,5,7,4
10,8,9,12,10,10,11,15,14,9,12,10,9,6,9,7,5,5,15,4
10,1,5,7,14,10,10,10,10,3,6,10,2,10,2,11,6,3,15,6
10,1,5,14,10,10,10,10,10,9,13,14,10,10,11,15,14,10,10,10
9,5,5,14,8,11,14,11,14,3,5,12,11,15,14,10,11,14,8,10
3,5,5,15,5,12,9,12,10,11,6,3,12,10,8,10,10,10,3,12
11,5,5,13,7,5,6,2,11,14,11,14,1,14,2,10,10,10,9,6
9,7,6,2,9,6,11,15,14,10,10,8,3,14,11,14,10,10,2,10
1,15,15,14,1,12,8,8,10,11,15,6,10,10,10,10,10,10,10,10
3,12,10,10,1,7,5,5,13,14,10,10,10,11,12,9,13,13,15,14
9,6,10,10,3,14,2,3,7,14,10,11,15,13,5,5,5,6,8,10
2,10,10,11,14,10,9,12,10,8,8,10,10,3,7,5,7,12,1,14
9,12,8,8,8,9,5,5,13,5,5,12,8,8,8,1,13,5,5,12
