20
1,7,5,4,2,2,2,3,7,6,3,5,6,3,7,4,2,1,5,6
3,13,7,4,10,11,14,8,10,11,12,1,13,12,9,6,11,6,3,12
10,2,10,2,10,8,10,3,13,15,5,6,3,6,3,13,14,9,13,6
10,10,11,13,15,7,15,12,1,12,3,13,12,10,11,4,9,5,5,14
10,9,13,6,8,8,8,1,5,7,14,2,1,14,11,7,6,3,4,10
10,3,5,13,5,5,7,6,2,10,10,11,5,13,14,8,9,15,4,10
11,15,7,5,5,5,15,13,13,14,10,9,5,7,13,5,5,13,6,10
10,10,9,5,5,5,15,5,5,14,11,7,5,13,5,5,5,7,14,10
10,10,2,3,7,5,13,4,1,12,8,9,5,5,7,4,2,10,10,10
10,11,14,10,11,5,6,3,6,3,7,6,1,7,13,5,15,14,10,10
10,10,11,14,10,3,12,10,10,9,12,10,2,9,5,6,10,11,15,14
9,12,10,9,12,10,2,10,11,6,1,15,14,2,3,14,8,10,10,10
1,7,13,7,5,13,12,10,10,11,7,12,10,11,14,10,1,12,8,8
1,13,7,13,5,6,3,12,8,8,9,6,9,12,9,13,5,7,7,6
1,5,13,7,6,10,9,7,5,5,6,11,5,6,3,5,5,14,10,8
2,2,2,11,15,13,7,13,5,4,11,13,4,11,13,4,2,11,14,2
10,10,10,10,10,2,10,1,5,6,9,5,6,9,5,7,15,14,10,10
10,10,11,14,11,15,14,3,5,12,3,5,12,1,7,12,10,10,10,10
10,10,10,10,10,8,9,13,7,4,9,5,6,1,15,4,10,10,9,14
9,13,12,8,8,1,5,5,13,5,5,5,13,5,13,4,8,8,1,12
