16
1,5,7,7,6,3,5,5,5,7,5,5,6,3,7,6
3,5,12,10,11,15,5,5,5,13,5,4,10,10,10,10
9,6,2,10,10,10,2,2,2,2,2,2,10,10,10,10
2,10,10,10,10,10,11,13,14,10,10,11,14,10,10,10
10,10,10,10,11,13,13,4,10,10,11,14,11,14,10,10
9,13,13,15,12,3,7,5,12,11,12,8,8,11,12,10
1,7,5,13,5,15,15,5,5,14,3,6,3,14,2,10
3,13,7,5,5,12,10,3,6,9,12,11,12,9,12,10
10,2,11,4,2,2,11,13,12,3,6,10,2,2,2,10
10,11,15,4,10,10,9,6,3,12,8,10,10,10,11,14
10,10,9,7,15,12,1,13,15,5,7,14,11,14,10,10
11,15,7,12,9,5,7,7,13,6,8,11,14,9,12,8
10,10,11,5,7,5,14,10,2,10,3,12,9,5,5,6
10,10,10,3,13,4,11,13,12,10,9,6,3,5,5,12
11,12,8,9,5,5,15,5,4,11,5,15,13,5,7,4
9,5,5,5,5,5,13,5,4,8,1,13,5,5,13,4
