16
1,7,5,5,5,7,4,3,6,1,7,7,7,7,4,2
3,13,5,5,7,13,6,10,10,3,12,10,8,9,7,14
11,7,5,5,13,4,9,14,10,11,4,8,3,5,12,8
8,9,5,5,5,7,4,10,11,13,5,5,14,3,4,2
1,7,5,6,3,15,6,10,10,3,7,5,14,11,7,14
1,13,6,9,14,8,8,9,13,14,8,1,12,10,10,10
2,3,13,5,13,5,7,5,7,15,5,5,5,12,10,10
10,10,1,5,5,7,12,3,14,11,6,1,7,6,11,14
10,10,1,5,5,15,4,9,12,10,11,7,12,11,14,10
11,13,5,5,7,14,2,3,5,12,8,11,4,8,10,10
8,3,5,5,12,11,13,14,1,5,5,13,7,6,10,10
2,10,3,7,5,13,5,13,7,5,5,7,13,12,8,8
11,14,9,14,1,7,5,5,13,5,7,12,2,1,5,6
10,8,3,12,3,15,5,5,6,3,13,5,15,5,5,12
9,6,9,7,12,10,1,5,13,13,6,3,13,5,5,6
1,13,5,13,5,13,5,5,4,1,13,13,5,5,4,8
