16
1,5,5,7,5,7,7,4,2,2,3,5,7,6,2,2
3,5,5,12,2,10,11,5,15,14,10,3,12,10,11,14
11,7,5,7,15,12,9,6,10,10,10,9,6,10,10,10
8,11,4,10,11,4,3,12,10,10,10,2,10,11,14,8
2,11,6,10,9,6,9,6,8,9,15,15,14,8,11,4
10,10,10,10,1,13,7,13,5,7,14,8,8,3,13,4
11,12,8,10,3,6,11,5,5,14,9,5,5,13,7,4
10,2,2,10,10,9,12,3,6,10,3,5,7,4,10,2
11,14,11,14,11,4,2,9,13,14,10,3,13,5,15,14
10,10,10,11,15,5,15,5,4,11,14,11,6,2,8,10
10,9,14,10,9,4,9,7,5,12,8,8,9,14,2,10
10,2,10,10,3,7,6,10,1,7,4,2,2,11,13,12
10,10,10,11,12,10,9,15,5,13,5,15,14,9,7,4
10,9,13,14,1,13,5,15,5,7,5,12,9,5,15,4
11,7,5,13,5,5,7,15,7,13,7,5,4,3,13,4
8,9,5,5,5,5,13,12,9,4,9,5,4,9,5,4
