16
1,5,7,4,1,5,7,5,7,5,7,5,5,5,5,4
1,6,10,3,7,4,10,3,14,1,13,5,5,7,7,4
1,14,11,14,11,4,10,8,10,1,5,5,6,11,12,2
1,15,14,10,10,3,14,3,14,3,5,5,15,15,5,14
1,14,8,8,11,12,11,12,9,14,1,5,14,9,6,10
3,15,6,2,11,6,10,2,3,13,7,6,10,3,14,10
10,10,10,10,11,15,14,9,12,1,14,9,12,8,8,8
10,10,10,10,10,10,8,3,7,5,13,5,7,5,5,6
10,11,14,11,14,9,6,9,12,1,5,7,13,5,6,10
8,10,11,14,10,2,11,7,6,3,7,13,5,5,13,12
2,10,11,14,10,10,10,10,10,10,9,5,7,5,5,6
9,13,14,9,14,10,10,10,11,14,3,5,15,5,5,12
3,5,15,6,10,11,14,8,10,10,9,7,14,1,7,4
10,3,12,10,11,14,10,3,14,11,5,14,9,5,13,4
10,9,6,11,14,10,10,8,11,14,3,13,5,5,5,4
8,1,12,8,8,8,9,5,13,12,9,5,5,5,5,4
