16
1,5,6,3,5,5,5,7,7,5,7,5,4,1,7,6
3,7,15,13,5,5,7,13,15,6,9,5,4,3,12,10
10,10,9,5,7,5,13,4,10,11,5,7,4,11,4,10
10,10,2,3,15,5,4,2,11,14,1,13,5,13,6,8
10,10,11,14,9,5,7,13,14,11,7,5,5,7,13,4
10,10,10,8,1,7,13,4,10,10,11,5,5,13,5,6
9,13,13,6,2,11,7,4,8,10,10,3,6,1,7,12
3,5,5,15,13,12,10,3,7,14,10,10,9,6,9,6
11,7,5,14,1,7,14,9,12,10,10,9,4,11,5,12
10,10,2,11,5,12,9,7,5,13,15,5,5,13,5,6
11,14,11,14,1,6,1,14,3,5,12,1,5,7,5,14
10,10,10,10,1,15,5,15,15,7,5,5,5,13,4,10
10,10,10,10,1,14,1,14,9,13,7,5,5,5,7,14
10,10,10,10,2,10,1,14,3,5,13,5,5,5,14,8
10,10,10,11,15,14,1,13,13,6,1,5,5,7,13,4
9,12,8,9,12,9,5,5,5,13,5,5,5,13,5,4
