16
1,6,1,5,6,3,7,5,5,7,5,5,5,5,5,6
2,9,5,5,15,12,8,1,5,15,7,6,1,5,7,12
11,5,5,7,12,3,5,5,5,14,8,8,1,7,13,4
8,3,5,13,4,11,7,6,2,11,7,5,5,13,7,4
3,14,3,7,7,12,8,11,13,12,10,3,5,7,12,2
8,10,10,8,11,5,5,15,5,4,10,10,2,10,3,14
3,13,14,1,15,5,5,15,5,6,10,10,11,14,10,10
10,3,12,2,11,5,6,11,6,11,15,12,10,10,10,10
10,11,7,14,9,6,10,9,12,10,9,4,8,9,14,10
10,10,8,11,5,12,11,5,5,13,7,6,2,2,10,10
10,11,6,11,7,5,13,5,4,1,15,13,13,13,15,12
10,10,10,8,11,5,5,5,5,7,13,6,2,2,9,6
10,10,9,6,9,5,6,2,2,11,6,9,15,13,5,12
10,10,3,13,5,5,15,13,12,10,9,4,11,6,3,6
10,10,9,6,1,5,13,5,7,13,7,5,12,11,12,8
9,13,5,12,1,5,5,5,12,1,13,5,5,13,5,4
