16
1,7,5,5,5,5,5,7,5,5,5,7,4,2,3,4
2,11,7,6,3,7,5,13,5,7,5,15,4,9,13,6
10,10,10,11,15,13,7,4,1,13,4,9,6,2,2,10
11,14,10,10,10,1,13,7,6,2,2,3,12,11,14,10
10,10,10,10,10,1,5,14,11,15,15,15,5,14,11,14
10,11,15,14,10,3,5,14,10,10,8,9,5,12,10,8
11,12,8,9,12,10,1,12,8,11,4,1,7,5,15,6
10,1,7,5,5,15,4,3,6,11,6,3,13,6,10,10
10,3,14,1,5,13,4,9,13,14,10,8,1,14,8,8
10,9,13,7,4,3,6,3,6,10,11,5,5,13,7,4
11,5,7,13,4,10,9,14,10,10,9,6,3,6,11,4
10,3,15,7,4,10,2,10,10,11,5,15,12,11,13,6
11,14,8,9,5,15,13,15,14,10,3,13,4,8,3,12
10,10,3,7,7,12,2,10,11,14,11,5,5,5,13,4
11,15,14,8,9,5,12,10,10,11,15,5,5,5,7,4
8,9,13,5,5,5,4,9,13,12,9,5,5,5,13,4
