16
1,6,3,5,5,5,5,7,7,5,5,7,5,4,2,2
3,15,15,5,5,5,5,14,10,3,6,9,5,7,14,10
10,11,13,7,5,5,5,13,13,14,11,5,7,12,10,10
8,9,6,10,3,5,6,3,7,14,10,1,13,4,11,14
1,7,12,10,8,3,12,10,8,8,11,5,5,4,10,10
1,15,5,15,5,13,4,9,7,6,11,5,5,5,15,12
3,13,7,13,5,6,2,1,12,10,9,7,5,5,13,6
9,6,9,4,3,14,10,3,7,14,3,13,5,5,4,10
1,13,7,5,14,10,10,9,12,11,15,5,5,7,7,14
1,5,15,4,10,11,15,6,2,10,11,4,2,11,14,10
2,3,15,4,10,10,10,11,15,14,9,7,12,8,11,14
10,10,10,2,11,15,14,10,10,10,2,11,6,2,10,10
11,14,11,13,14,9,12,8,10,10,9,12,11,12,10,10
10,10,9,7,14,1,5,7,12,11,5,7,13,4,10,10
10,10,3,12,10,1,5,14,3,15,6,9,5,6,10,10
9,13,13,4,9,5,5,13,12,8,9,5,5,13,13,12
